incident_feature_id|hora|dia_semana|mes|trimestre|prioridade_codigo|prioridade_desc|ola_limite_horas|is_horario_comercial|is_fim_de_semana|periodo_dia_desc|lag_1d|lag_7d|rolling_7d|rolling_30d|media_movel_delta|tendencia_volume|is_feriado|contexto_calendario|target_ola|ocorrencia_ola|origem_dado|arquivo_origem|data_processamento_utc
4af31913bc0709ca628a69cfc125670a129c6504ffa2fd1f0476b85843cdfc95|18|2|12|4|P2|ALTA|4|0|0|NOITE|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
b6aeeb8ef5d225e8c65bc55ccd725cb35506ab24a22806d210b8ee1456865ffd|14|2|12|4|P2|ALTA|4|1|0|TARDE|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
89a1e1bf32a20b8c5c154e647b7425cc25e4a8afa2fbe4b8914adb328c367841|11|2|12|4|P2|ALTA|4|1|0|MANHA|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
d181743f058f0be70d27ad4086adb80413db536ae60483dc30275d6db09cec6d|11|2|12|4|P2|ALTA|4|1|0|MANHA|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
add6b7b1f9ebc24c3569d1f02ccbf03549a27df347c523063a6dd5606b2456f5|7|2|12|4|P2|ALTA|4|0|0|MANHA|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
c17d41b8f7c9d65a096b2801f0eb6da334eecbe9bc66b90954c827de2fc84815|6|2|12|4|P2|ALTA|4|0|0|MANHA|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
3729437a725fda62491c892eb2720a47f172a41687f444395e277bb7455fdccd|6|2|12|4|P2|ALTA|4|0|0|MANHA|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
3c7a092e2e9896b8fc5081ddd3828bdd37eadaa083dff18bd4cef783605889a4|4|2|12|4|P3|MEDIA|12|0|0|MADRUGADA|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
7d8b44188cf7e51d873889e4efafed6e292acec7b18b5c37a673f7d35ffa691b|4|2|12|4|P2|ALTA|4|0|0|MADRUGADA|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|1|VIOLADO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
f33751edbc7572d654867fbc93cdaf29bf57c7cac9a5371e5e35ad9489327efe|3|2|12|4|P2|ALTA|4|0|0|MADRUGADA|10.00|40.00|18.43|45.30|-26.87|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
61163e33f7ce6340d9b9fd611499d9663f1062632bb534e04e21b17b158959ab|22|1|12|4|P2|ALTA|4|0|0|NOITE|26.00|53.00|22.71|47.10|-24.39|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
7107b6ff7f3d9633f575f33450d9db497f8b8388ace39ad6d557a72d5e8bd8ff|14|1|12|4|P3|MEDIA|12|1|0|TARDE|26.00|53.00|22.71|47.10|-24.39|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
599ab23fdd1a549cf14ba0522e1050b39aed5ebc7fd6a9dca1022243f39c0eba|13|1|12|4|P2|ALTA|4|1|0|TARDE|26.00|53.00|22.71|47.10|-24.39|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
0823002522e5637e2d7319ce909261c8044a82e8de80613642fef29132fa4b76|12|1|12|4|P2|ALTA|4|1|0|TARDE|26.00|53.00|22.71|47.10|-24.39|BAIXA|0|DIA_UTIL|0|ATENDIDO|PREDICTFY_INCIDENTS_FEATURES_V1|incidentes_predictfy.csv|2026-08-23 22:20:21
